link;title;year count;mean;median;mode; mode frequency;standard deviation;1st Quartile;3rd Quartile;IQR;minimum value;maximum value;filter min;filter max
https://plato.stanford.edu/entries/war/;War ;407;2006;2009;2014;41;10;2004;2013;9;1949;2017;1200;2020
https://plato.stanford.edu/entries/james-ward/;James Ward ;94;1930;1926;1911;7;45;1899;1959;60;1843;2017;1200;2020
https://plato.stanford.edu/entries/watsuji-tetsuro/;Watsuji TetsurÅ ;195;1965;1965;1961;21;44;1935;1998;63;1600;2019;1200;2020
https://plato.stanford.edu/entries/weakness-will/;Weakness of Will ;142;1996;2002;2003;12;23;1987;2011;24;1789;2019;1200;2020
https://plato.stanford.edu/entries/weber/;Max Weber ;142;1939;1950;1919;12;110;1917;1992;75;1208;2020;1200;2020
https://plato.stanford.edu/entries/simone-weil/;Simone Weil ;199;1975;1976;2017;12;32;1942;2006;64;1909;2020;1200;2020
https://plato.stanford.edu/entries/well-being/;Well-Being ;71;1992;2004;XXXX;XXXX;39;1992;2011;19;1789;2017;1200;2020
https://plato.stanford.edu/entries/weyl/;Hermann Weyl ;638;1946;1931;XXXX;XXXX;33;1923;1973;50;1854;2016;1200;2020
https://plato.stanford.edu/entries/whewell/;William Whewell ;219;1914;1864;1858;24;77;1851;1992;141;1609;2017;1200;2020
https://plato.stanford.edu/entries/whitehead/;Alfred North Whitehead ;565;1964;1967;1929;59;37;1929;1997;68;1820;2018;1200;2020
https://plato.stanford.edu/entries/william-auvergne/;William of Auvergne ;177;1869;1994;1998;19;273;1953;2003;50;1210;2017;1200;2020
https://plato.stanford.edu/entries/william-champeaux/;William of Champeaux ;107;1986;1993;2004;14;23;1974;2000;26;1867;2016;1200;2020
https://plato.stanford.edu/entries/william-sherwood/;William of Sherwood ;114;1851;1966;1966;27;269;1941;1981;40;1200;2020;1200;2020
https://plato.stanford.edu/entries/williams-bernard/;Bernard Williams ;172;1982;1985;1985;24;28;1973;1998;25;1785;2018;1200;2020
https://plato.stanford.edu/entries/williams-dc/;Donald Cary Williams ;134;1982;1989;1966;9;28;1966;2003;37;1899;2019;1200;2020
https://plato.stanford.edu/entries/wilson/;John Cook Wilson ;327;1953;1950;XXXX;XXXX;42;1916;1994;78;1849;2016;1200;2020
https://plato.stanford.edu/entries/wilhelm-windelband/;Wilhelm Windelband ;260;1914;1894;XXXX;XXXX;58;1881;1924;43;1770;2020;1200;2020
https://plato.stanford.edu/entries/wisdom/;Wisdom ;54;1996;1996;1996;18;13;1989;2006;17;1941;2020;1200;2020
https://plato.stanford.edu/entries/wittgenstein/;Ludwig Wittgenstein ;167;1976;1984;XXXX;XXXX;32;1958;2002;44;1889;2020;1200;2020
https://plato.stanford.edu/entries/wittgenstein-aesthetics/;Wittgenstein's Aesthetics ;111;1978;1974;1966;31;18;1966;1990;24;1930;2016;1200;2020
https://plato.stanford.edu/entries/wittgenstein-atomism/;WittgensteinÃ¢ÂÂs Logical Atomism ;148;1966;1978;XXXX;XXXX;40;1930;1996;66;1781;2020;1200;2020
https://plato.stanford.edu/entries/wittgenstein-mathematics/;Wittgenstein's Philosophy of Mathematics ;447;1972;1985;1998;24;46;1944;1998;54;1235;2018;1200;2020
https://plato.stanford.edu/entries/wodeham/;Adam de Wodeham ;197;1823;1981;1978;15;284;1518;1995;477;1240;2020;1200;2020
